,,Q1 ,Q2,,,,,,Q3,,,,Q4,,,,,,,,,,,,,,,,Q5,Q6,Q7,,,,,,,,,,,,,,,,Q8,Q9,Q10,Q11
,,Q1 ,Q2-1,Q2-2,Q2-3,Q2-4,Q2-5,Q2-6,Q3-1tpc,Q3-2sp,Q3-3tab,Q3-4ord,Q4-1,Q4-2,Q4-3,Q4-4,Q4-5,Q4-6,Q4-7,Q4-8,Q4-9,Q4-10,Q4-11,Q4-12,Q4-13,Q4-14,Q4-15,Q4-16,Q5,Q6,Q7-1,Q7-2,Q7-3,Q7-4,Q7-5,Q7-6,Q7-7,Q7-8,Q7-9,Q7-10,Q7-11,Q7-12,Q7-13,Q7-14,Q7-15,Q7-16,Q8,Q9,Q10,Q11
SV1,ESI1,papier,,1,1,,sms,,non,ot,non,non,,1,1,1,1,,,1,,,,,,,,,js,sv,,,,,,,,,,,,,,,1,,NA,NA,F,21
SV1,ESI2,ordi,1,1,1,,,,non,ot,non,ot,1,1,,1,,,,1,,,,,,,,,sv,sv,1,1,,,,,,,,,,,,,,,sv,sv,F,19
SV1,ESI3,papier,1,1,,,,,NR,ot,NR,NR,1,1,,,1,,,,,,,,,,,,qqf,js,1,1,,,,,1,,,,,,,,,,1X,qqf,F,40
SV1,ESI4,ordi,1,,,,,,non,ot,ot,non,,,,1,,,,,,,,,,,,,js,qqf,,,,1,,,,,1,1,,,notercours,,,,qqf,qqf,F,19
SV1,ESI5,X,1,,,,,,non,ot,osp,ot,,,1,1,,,1,,,,1,,,,,,sv,sv,,,,,,,,,,,,,notercours,,,,1X,sv,F,21
SV1,ESI6,pas,,,,,,1,non,ot,non,non,,,,,1,,,,,,,1,,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,26
SV1,ESI7,papier,,,,,,1,non,ot,non,non,,,,1,,,,,,,1,1,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI8,ordi,,,,,,1,NR,osp,NR,ot,,,,,,,,,,,,,,1,,,js,js,,,,,,,,,,,1,,,,,,sv,js,H,21
SV1,ESI9,papier,1,1,1,,1,,NR,ot,NR,NR,1,1,,1,1,1,,1,,,,1,,,,,qqf,qqf,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,F,19
SV1,ESI10,papier,1,,,,,,osp,NR,NR,NR,,,,,,,,,,,,,,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,F,20
SV1,ESI11,ordi,,1,,,,,non,ot,ot,non,,,,1,,,,,,,,,,,,,js,sv,1,1,,,,,,,,,1,,,,,,tt,1X,F,19
SV1,ESI12,papier,1,,,,,,non,osp,non,non,,,,1,,,,,,,,,reg-heure,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI13,pas,1,,,,,,non,ot,non,ot,,,,1,1,,,1,1,,,1,,,,,nvp,sv,,,,,,,,,1,,,,shop,,,,qqf,tt,F,19
SV1,ESI14,papier,1,,,1,,,non,osp,non,non,,,,,,,,,,,,,reg-heure,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI15,papier,1,,,,,1,non,osp,non,osp,,,,,,,,,,,,,,,1,,NA,NA,,,,,,,,,,,,,,,1,,NA,NA,F,21
SV1,ESI16,papier,1,,,,,,non,osp,non,non,,,,1,1,,,,,,,,,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,20
SV1,ESI17,papier,1,,,,,,NR,osp,NR,NR,,,,,1,,,,,,,1,,,,,1X,1X,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI18,papier,1,,,,,,NR,osp,NR,NR,,,,,,,,,,,,,,,,1,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI19,papier,1,,,,,,NR,osp,non,non,,,,,,,,,,1,,,,,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI20,pas,,,,,,1,non,osp,non,non,,,,1,1,,,,,,,,,,,,js,qqf,,,,,,,,,,,,,,,1,,NA,NA,F,24
SV1,ESI21,papier,1,,,,,,non,osp,non,non,,,,1,,,,,,,,,,,,,js,1X,,,,,,,,,,,,,,,1,,NA,NA,F,19
SV1,ESI22,papier,,,,,,1,non,osp,non,non,,,,,,,,,,,,,,,1,,NA,NA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,F,20
SV1,ESI23,papier,1,1,,,,,non,osp,non,non,,,,,,,,,,,,,reg-heure,,,,js,js,,,,,,,,,,,,,,,1,,NA,NA,F,20
